立委,行程日期,開始時間（選填）,結束時間（選填）,行程分類,行程名稱,行程敘述（選填）,相關連結（選填）,行程地點,geocode,lat,lon,媒體類型（選填）,媒體連結（選填）
余宛如,2017-01-23,下午,,媒體公關,借鏡法國經驗活化企業與創新產業座談,邀請到「La French Tech」之母、打造法國創新生態圈的Fleur Pellerin蒞臨立法院，分享法國的政策經驗。,,立法院,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""1"",
               ""short_name"" : ""1"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""青島東路"",
               ""short_name"" : ""青島東路"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""中正區"",
               ""short_name"" : ""中正區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""台北市"",
               ""short_name"" : ""台北市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""100"",
               ""short_name"" : ""100"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""100台灣台北市中正區青島東路1號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 25.0442838,
               ""lng"" : 121.5207021
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 25.0456327802915,
                  ""lng"" : 121.5220510802915
               },
               ""southwest"" : {
                  ""lat"" : 25.0429348197085,
                  ""lng"" : 121.5193531197085
               }
            }
         },
         ""place_id"" : ""ChIJh2e9c3GpQjQRf42gbiw8jgc"",
         ""types"" : [ ""establishment"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",25.0442838,121.5207021,FB,https://www.facebook.com/Yuwanju/posts/1325124220885844
余宛如,2017-01-19,,,媒體公關,立法院FinTech Seminar,邀請到FinTech Taiwan發起人、澳洲新南威爾斯大學法學院Research Fellow的臧正運 （CY Tsang）博士，為財政委員會的民進黨委員與助理同仁、金管會的鄭副主委、資服處蔡處長與其他同仁，分享金融科技監理的國際潮流與因應策略。此外，也邀請了源鉑資本的胡一天 （Thomas Hu）談區塊鏈技術與金融科技。,,立法院,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""1"",
               ""short_name"" : ""1"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""青島東路"",
               ""short_name"" : ""青島東路"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""中正區"",
               ""short_name"" : ""中正區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""台北市"",
               ""short_name"" : ""台北市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""100"",
               ""short_name"" : ""100"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""100台灣台北市中正區青島東路1號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 25.0442838,
               ""lng"" : 121.5207021
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 25.0456327802915,
                  ""lng"" : 121.5220510802915
               },
               ""southwest"" : {
                  ""lat"" : 25.0429348197085,
                  ""lng"" : 121.5193531197085
               }
            }
         },
         ""place_id"" : ""ChIJh2e9c3GpQjQRf42gbiw8jgc"",
         ""types"" : [ ""establishment"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",25.0442838,121.5207021,FB,https://www.facebook.com/Yuwanju/posts/1321323477932585
余宛如,2017-01-18,,,媒體公關,打造台灣成為新創南向的HUB!會議,邀請國發會龔副主委、行政院經貿談判辦公室、經濟部投資業務處、中小企業處、國貿局、世界台灣商會聯合總會青商會祕書長吳國本與 TXA 創新加速器總經理徐竹先，共同討論如何推動創新創業南向延伸，落實蔡總統政見中新南向、亞洲矽谷與五加二產業計畫，打造連結新產業南向的橋梁，也讓台灣新創有更多機會走入東南亞市場。,,,,,,FB,https://www.facebook.com/Yuwanju/posts/1320137098051223
余宛如,2017-01-18,,,國會事務,"兩公約經社文公
約審查會議",台灣兩公約國家報告的重要審查會議,,,,,,FB,https://www.facebook.com/Yuwanju/posts/1318422021556064
余宛如,2017-01-17,,,媒體公關,女委大主廚．新春活動特輯,與立院好媽媽 蘇巧慧委員、淡水Jolin 呂孫綾委員，一同錄製農曆春節的節目「女委大主廚」。,,,,,,FB,https://www.facebook.com/Yuwanju/posts/1319411364790463
余宛如,2017-01-17,,,媒體公關,台少盟會議,台灣少年權益與福利促進聯盟秘書長葉大華的邀請，聆聽青年就業的議題。,,,,,,FB,https://www.facebook.com/Yuwanju/posts/1319438458121087
余宛如,2017-01-17,,,媒體公關,亞太智慧卡協 會-創新金融與 支付博覽會2017,亞太智慧卡協會定期舉辦金融科技方面的座談,,,,,,FB,https://www.facebook.com/Yuwanju/posts/1318519221546344
余宛如,2017-01-16,,,媒體公關,"台北市會計師公
會贈米濟貧活動",參加會計師公會一年一度捐贈白米給低收入戶的愛心活動，與姚文智委員、周威佑議員，一起在台北市萬華區青山里辦公室，同里長將愛心白米交到需要的民眾手上。,,,,,,FB,https://www.facebook.com/Yuwanju/posts/1318416368223296
余宛如,2017-01-14,,,媒體公關,中美洲-英捷專 案-舊金山,,,舊金山,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""舊金山"",
               ""short_name"" : ""SF"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""舊金山"",
               ""short_name"" : ""舊金山"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""加利福尼亞州"",
               ""short_name"" : ""CA"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""美國"",
               ""short_name"" : ""US"",
               ""types"" : [ ""country"", ""political"" ]
            }
         ],
         ""formatted_address"" : ""美國加利福尼亞州舊金山"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 37.9298239,
                  ""lng"" : -122.28178
               },
               ""southwest"" : {
                  ""lat"" : 37.6398299,
                  ""lng"" : -123.173825
               }
            },
            ""location"" : {
               ""lat"" : 37.7749295,
               ""lng"" : -122.4194155
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 37.812,
                  ""lng"" : -122.3482
               },
               ""southwest"" : {
                  ""lat"" : 37.70339999999999,
                  ""lng"" : -122.527
               }
            }
         },
         ""place_id"" : ""ChIJIQBpAG2ahYAR_6128GcTUEo"",
         ""types"" : [ ""locality"", ""political"" ]
      }
   ],
   ""status"" : ""OK""
}
",37.7749295,-122.4194155,FB,https://www.facebook.com/Yuwanju/posts/1318412181557048
余宛如,2017-01-14,,,媒體公關,中美洲-英捷專 案-舊金山,,,舊金山,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""舊金山"",
               ""short_name"" : ""SF"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""舊金山"",
               ""short_name"" : ""舊金山"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""加利福尼亞州"",
               ""short_name"" : ""CA"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""美國"",
               ""short_name"" : ""US"",
               ""types"" : [ ""country"", ""political"" ]
            }
         ],
         ""formatted_address"" : ""美國加利福尼亞州舊金山"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 37.9298239,
                  ""lng"" : -122.28178
               },
               ""southwest"" : {
                  ""lat"" : 37.6398299,
                  ""lng"" : -123.173825
               }
            },
            ""location"" : {
               ""lat"" : 37.7749295,
               ""lng"" : -122.4194155
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 37.812,
                  ""lng"" : -122.3482
               },
               ""southwest"" : {
                  ""lat"" : 37.70339999999999,
                  ""lng"" : -122.527
               }
            }
         },
         ""place_id"" : ""ChIJIQBpAG2ahYAR_6128GcTUEo"",
         ""types"" : [ ""locality"", ""political"" ]
      }
   ],
   ""status"" : ""OK""
}
",37.7749295,-122.4194155,FB,https://www.facebook.com/Yuwanju/posts/1318412181557048
余宛如,2017-01-12,,,媒體公關,中美洲-英捷專 案-薩爾瓦多,與薩國青年座談,,薩爾瓦多,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""薩爾瓦多"",
               ""short_name"" : ""SV"",
               ""types"" : [ ""country"", ""political"" ]
            }
         ],
         ""formatted_address"" : ""薩爾瓦多"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 14.4505567,
                  ""lng"" : -87.6682
               },
               ""southwest"" : {
                  ""lat"" : 13.0473999,
                  ""lng"" : -90.19229999999999
               }
            },
            ""location"" : {
               ""lat"" : 13.794185,
               ""lng"" : -88.89653
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 14.4505567,
                  ""lng"" : -87.68385019999999
               },
               ""southwest"" : {
                  ""lat"" : 13.1554312,
                  ""lng"" : -90.1268106
               }
            }
         },
         ""place_id"" : ""ChIJVwZkWaYnY48RMkiFmOsWmm8"",
         ""types"" : [ ""country"", ""political"" ]
      }
   ],
   ""status"" : ""OK""
}
",13.794185,-88.89653,FB,https://www.facebook.com/Yuwanju/posts/1315780711820195
余宛如,2017-01-11,,,媒體公關,中美洲-英捷專 案-瓜地馬拉,,,瓜地馬拉,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""瓜地馬拉"",
               ""short_name"" : ""GT"",
               ""types"" : [ ""country"", ""political"" ]
            }
         ],
         ""formatted_address"" : ""瓜地馬拉"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 17.8156973,
                  ""lng"" : -88.19820009999999
               },
               ""southwest"" : {
                  ""lat"" : 13.63,
                  ""lng"" : -92.2714
               }
            },
            ""location"" : {
               ""lat"" : 15.783471,
               ""lng"" : -90.23075899999999
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 17.8157114,
                  ""lng"" : -88.2307249
               },
               ""southwest"" : {
                  ""lat"" : 13.7400214,
                  ""lng"" : -92.23183589999999
               }
            }
         },
         ""place_id"" : ""ChIJa1DnNlATiIURu9WEWzcrmDU"",
         ""types"" : [ ""country"", ""political"" ]
      }
   ],
   ""status"" : ""OK""
}
",15.783471,-90.23075899999999,FB,https://www.facebook.com/Yuwanju/posts/1314559888608944
余宛如,2017-01-10,,,媒體公關,中美洲-英捷專 案-尼加拉瓜,,,尼加拉瓜,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""尼加拉瓜"",
               ""short_name"" : ""NI"",
               ""types"" : [ ""country"", ""political"" ]
            }
         ],
         ""formatted_address"" : ""尼加拉瓜"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 15.0302755,
                  ""lng"" : -82.2766
               },
               ""southwest"" : {
                  ""lat"" : 10.7080549,
                  ""lng"" : -87.75879999999999
               }
            },
            ""location"" : {
               ""lat"" : 12.865416,
               ""lng"" : -85.207229
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 15.0302755,
                  ""lng"" : -82.5920716
               },
               ""southwest"" : {
                  ""lat"" : 10.7080549,
                  ""lng"" : -87.69030769999999
               }
            }
         },
         ""place_id"" : ""ChIJzSL_zgDCEI8RtRWsP-Wn-sg"",
         ""types"" : [ ""country"", ""political"" ]
      }
   ],
   ""status"" : ""OK""
}
",12.865416,-85.207229,FB,https://www.facebook.com/Yuwanju/posts/1313558968709036
余宛如,2017-01-09,,,媒體公關,中美洲-英捷專 案-宏都拉斯,,,宏都拉斯,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""洪都拉斯"",
               ""short_name"" : ""HN"",
               ""types"" : [ ""country"", ""political"" ]
            }
         ],
         ""formatted_address"" : ""洪都拉斯"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 17.4677999,
                  ""lng"" : -83.06210009999999
               },
               ""southwest"" : {
                  ""lat"" : 12.9842246,
                  ""lng"" : -89.3564822
               }
            },
            ""location"" : {
               ""lat"" : 15.199999,
               ""lng"" : -86.241905
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 16.5168515,
                  ""lng"" : -83.12757979999999
               },
               ""southwest"" : {
                  ""lat"" : 12.9842246,
                  ""lng"" : -89.3564822
               }
            }
         },
         ""place_id"" : ""ChIJzzG3cxp1ao8RZIL7toLe0X4"",
         ""types"" : [ ""country"", ""political"" ]
      }
   ],
   ""status"" : ""OK""
}
",15.199999,-86.241905,FB,https://www.facebook.com/Yuwanju/posts/1312531198811813
余宛如,2017-01-08,,,媒體公關,中美洲-英捷專案-休士頓,,,休士頓,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""休斯敦"",
               ""short_name"" : ""休斯敦"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""哈里斯縣"",
               ""short_name"" : ""哈里斯縣"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""德克薩斯"",
               ""short_name"" : ""TX"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""美國"",
               ""short_name"" : ""US"",
               ""types"" : [ ""country"", ""political"" ]
            }
         ],
         ""formatted_address"" : ""美國德克薩斯休斯敦"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 30.1107319,
                  ""lng"" : -95.01449599999999
               },
               ""southwest"" : {
                  ""lat"" : 29.523624,
                  ""lng"" : -95.78808690000001
               }
            },
            ""location"" : {
               ""lat"" : 29.7604267,
               ""lng"" : -95.3698028
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 30.1107319,
                  ""lng"" : -95.01449599999999
               },
               ""southwest"" : {
                  ""lat"" : 29.523624,
                  ""lng"" : -95.78808690000001
               }
            }
         },
         ""place_id"" : ""ChIJAYWNSLS4QIYROwVl894CDco"",
         ""types"" : [ ""locality"", ""political"" ]
      }
   ],
   ""status"" : ""OK""
}
",29.7604267,-95.3698028,FB,https://www.facebook.com/Yuwanju/posts/1310751245656475
余宛如,2017-01-07,,,媒體公關,中美洲-英捷專 案-行前說明,,,,,,,FB,https://www.facebook.com/Yuwanju/posts/1309531092445157
余宛如,2017-01-06,,,媒體公關,尤美女-南非國 會友好聯誼會,,,南非,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""南非"",
               ""short_name"" : ""ZA"",
               ""types"" : [ ""country"", ""political"" ]
            }
         ],
         ""formatted_address"" : ""南非"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : -22.1254241,
                  ""lng"" : 38.2216904
               },
               ""southwest"" : {
                  ""lat"" : -47.1313489,
                  ""lng"" : 16.2816999
               }
            },
            ""location"" : {
               ""lat"" : -30.559482,
               ""lng"" : 22.937506
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : -22.1254241,
                  ""lng"" : 32.8909911
               },
               ""southwest"" : {
                  ""lat"" : -34.83323230000001,
                  ""lng"" : 16.4535919
               }
            }
         },
         ""place_id"" : ""ChIJURLu2YmmNBwRoOikHwxjXeg"",
         ""types"" : [ ""country"", ""political"" ]
      }
   ],
   ""status"" : ""OK""
}
",-30.559482,22.937506,FB,https://www.facebook.com/Yuwanju/posts/1309733435758256
余宛如,2017-01-04,,,媒體公關,青總,青創總會四十五週年啟動儀式,,,,,,FB,https://www.facebook.com/Yuwanju/posts/1308915132506753
余宛如,2017-01-03,,,媒體公關,meet SOAS 青年未來 Daffyd,,,,,,,FB,https://www.facebook.com/Yuwanju/photos/a.254081111323499.62597.185265471538397/1308660152532251/?type=3
余宛如,2016-12-29,,,媒體公關,"婚姻平權採訪
(with尤美女)",,,,,,,FB,https://www.facebook.com/Yuwanju/posts/1303173789747554
